Город;Комнаты;Лет дому;Лет с момента ремонта;Был капремонт;Общая площадь;Жилая площадь;Площадь кухни;Этаж;Этажность;Первый этаж;Последний этаж;Телефон_le;Балкон=2 балкона;Балкон=2 лоджии;Балкон=3 лоджии;Балкон=балкон;Балкон=лоджия;Балкон=нету;Ближайшее метро=Автозаводская;Ближайшее метро=Академия наук;Ближайшее метро=Восток;Ближайшее метро=Грушевка;Ближайшее метро=Институт культуры;Ближайшее метро=Каменная горка;Ближайшее метро=Кунцевщина;Ближайшее метро=Купаловская (Октябрьская);Ближайшее метро=Малиновка;Ближайшее метро=Михалово;Ближайшее метро=Могилевская;Ближайшее метро=Молодежная;Ближайшее метро=Московская;Ближайшее метро=Немига;Ближайшее метро=Парк Челюскинцев;Ближайшее метро=Партизанская;Ближайшее метро=Первомайская;Ближайшее метро=Петровщина;Ближайшее метро=Победы пл.;Ближайшее метро=Пролетарская;Ближайшее метро=Пушкинская;Ближайшее метро=Спортивная;Ближайшее метро=Тракторный завод;Ближайшее метро=Уручье;Ближайшее метро=Фрунзенская;Ближайшее метро=Якуба Коласа пл.;Ближайшее метро=нету;Материал стен=блок-комнаты;Материал стен=каркасно-блочный;Материал стен=кирпичный;Материал стен=монолитный;Материал стен=панельный;Материал стен=силикатно-блочный;Полы=ДСП;Полы=Не указано;Полы=деревянные;Полы=ковровое покрытие;Полы=ламинированые;Полы=линолеум;Полы=паркет;Микрорайон=Ангарская;Микрорайон=Аэродромная, Могилевская, Воронянского;Микрорайон=Багратиона, Менделеева, Уральская;Микрорайон=Богдановича, Куйбышева, Веры Хоружей;Микрорайон=Ботаническая, Академическая;Микрорайон=Ванеева, Партизанский;Микрорайон=Веснянка;Микрорайон=Военный городок;Микрорайон=Восток;Микрорайон=Гикало, Золотая Горка;Микрорайон=Дзержинского, Хмелевского, Щорса;Микрорайон=Домбровка;Микрорайон=Дружба, Брилевичи;Микрорайон=Запад, Красный Бор;Микрорайон=Захарова, Пулихова;Микрорайон=Зеленый луг;Микрорайон=Казинца, Ландера;Микрорайон=Каменная горка;Микрорайон=Кижеватова, Асаналиева;Микрорайон=Кунцевщина;Микрорайон=Лебяжий;Микрорайон=Лошица;Микрорайон=Малиновка;Микрорайон=Маркса, Кирова;Микрорайон=Масюковщина;Микрорайон=Машерова, Оперный театр, Коммунистическая;Микрорайон=Маяковского;Микрорайон=Михалово;Микрорайон=Не указан;Микрорайон=Независимости, Кедышко, Волгоградская;Микрорайон=Немига, Короля;Микрорайон=Партизанский, Васнецова, Народная;Микрорайон=Победителей, Заславская;Микрорайон=Прочие;Микрорайон=Пушкина, Глебки, Притыцкого, Ольшевского, Кальварийская;Микрорайон=Пушкина, Харьковская, Берута, Гусовского;Микрорайон=Пушкина, Я.Мавра, Бельского;Микрорайон=Р.Люксембург, К.Либкнехта;"Микрорайон=Район ДК ""МАЗ""";Микрорайон=Седых, Тикоцкого;Микрорайон=Сельхоз посёлок;Микрорайон=Серебрянка;Микрорайон=Сосны;Микрорайон=Степянка;Микрорайон=Сухарево;Микрорайон=Тракторный Завод;Микрорайон=Уманская, Железнодорожная, Грушевская;Микрорайон=Уручье;Микрорайон=Червякова, Шевченко;Микрорайон=Чижовка;Микрорайон=Шабаны;Микрорайон=Юго-Запад;"Микрорайон=Я.Коласа, у-м ""Рига"", Некрасова, Восточная";Тип дома=брежневка;Тип дома=не указан;Тип дома=новостройка;Тип дома=сталинка;Тип дома=стандартные;Тип дома=улучшеный проект;Тип дома=хрущевка;Тип дома=чешский проект;Условия продажи=не указан;Условия продажи=обмен;Условия продажи=подбираются варианты;Условия продажи=чистая продажа
Минск;1;59;59;False;34.58;17.04;7.59;2;9;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
Минск;4;19;19;False;86.9;15.7;9.3;2;10;0;0;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
Минск;3;45;45;False;61.5;13.62;6.2;4;5;0;0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
Минск;1;49;12;True;33.2;16.2;6.6;3;9;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
Заславль;1;12;12;False;40.3;17.1;9.4;2;9;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
Минск;1;34;34;False;30.7;16.0;6.7;2;9;0;0;1;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
Минск;1;45;45;False;34.59;18.04;7.48;7;9;0;0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
Минск;1;47;47;False;33.05;17.03;7.24;9;9;0;1;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
Заславль;1;12;12;False;46.0;17.1;8.7;7;10;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
Минск;1;31;31;False;35.1;16.9;7.1;3;9;0;0;1;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
Минск;1;27;27;False;37.4;17.3;8.1;3;9;0;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
